username,rating,comment
giovanialdia,5,"Pesenan teman buat anak2 n suaminya puas bgt ktanya krn bahannya bagus banget, warnanya juga keren, ukuran pas harga tergolong murah utk bahan yg bagus gitu."
y*****n,5,"Gak bisa berkata apa2 dah, saking bagusnya. Kainnya bagus, tebal. Nyaman dipake, cocok utk formal dn non formal juga. Utk warna merahnya bagus, rekomendasi bet dah. Thx seller..."
4*****7,5,"Mantap pengiriman cepat, pengemasan rapi, bahan bagus dan tebal, cuma salah pilih ukuran jadinya bajunya terlalu ngepas.. next bakal beli lagi yg sesuai ukuran.. recommended banget toko ini🙏🏻"
azaimkamil,5,"Pesanan sdh datang
Bahannya bagus bgtz adem lembut gak tipis dan gak panas bener² ori 
Keren lagi... Bakalan beli disini lagi
Terimakasih banyak
Respon ramah sekali"
m*****i,5,"bajunya sesuai ekspektasi yaa bestiee
bagus banget, ga bakal nyesel kalo beli disini, percaya dehh, ga boong aku tu, lagian pengiriman nya cepet, adminnya ramah lingkungan, ga sombong gaes yaa. mari semuanya belii disini buat ayangg yaaa bestiee. bagus dan rekomendasi begete yaaa gaes"
ronyirawan,5,"Maaf baru kasih penilaian. Kemaren pengiriman sangat cepat cuman saya gk ada d kos jdi saya suruh kurirnya simpan d kantor dan baru saya ambil skrg. Untuk kualitas tak perlu d ragukan lgi. Mantap. Kainnya tebel gk berbulu. Oke punya lah. Beli 2 sesuai pesanan.
Tinggi 165
Bb 48 (kurus sangat ) tpi ok"
riskanurhidayani,5,"Ngga tau mau komen gimana lagi. 
Sangat puas. 
Sampai di sulawesi cuman sehariii saking cepatnya dalam pengemasan dan pengiriman. 
Baru nyampe 6 baju langsung belanja lagi 3 baju.
Padahal bulan lalu jga beli  7 baju 😭
Mulai dari Adek, sepupu, om dan doi semua suka bahannya. 
Bkn bahan baju murahan."
aliakbarrafsanjaninastution,4,"Kualitas produk sangat bagus, pengiriman barang aman, bahan nya juga tebal, tapi kalo menurut saya ukuran untuk XL panjang badan sama tangan nya kurang panjang agak beberapa Cm, minimal tambah sedikit panjang tangan sama badannya."
o*****5,1,Mohon maaf atas bintang satu nya kak. Secara keseluruhan pelayanan emang baik dri penjual udah di return juga tetapi tidak bisa mengganti produk yg dibeli di awal walopun barang habis. Semoga kedepannya jangan sampai terulang. Lancar terus rejekinya kak. Semoga Allah mengampuni dosa kakak. Aminnn
o*****f,5,"Nyaman sih flanelnya,cuma bahannya agak kasar yah ga kayak flanel biasanya,tapi sesuai lah sama harga,ya walaupun agak kecewa,cuma saya tetep kasih bintang ⭐⭐⭐⭐⭐"
a*****a,5,"Mantap bnget kualitas nya, pengiriman juga cepat🤩 the best pokoknya"
liawulandari91,5,"Pesanan sesuai, pengiriman nya jg cpt bgt kemaren pesen skrg udh sampe, kurang nya cuma bahan nya kurang tebel menurut ku, tapi gpp suami ku oke2 aja.. makasih seller.."
viaoctaviani2810,5,"Mantap..
Bahannya tebal, jahitan rapih..
Sesuai dg pesanan.
Respon sangat cepat. 👍👍👍"
fivesevenyo,5,"bahan tebel, lembut, pengiriman super cepat dan rapi.. barang sampai dengan aman dan selamat.. semoga awet yaa"
alfijannah12,5,"Bajunya baguuuss, bahannya tebel, harganya murah. Mantep banget. kiw kiw"
almeerasstore,5,"Mantep.. beli waktu diskon 12.12 bahannya baguuuuussss 👍 real pict , sesuai dgn barang yg dtg."
rccyppmxe2,1,"lain warna kupesan lain warna yg datang, trus kainnya tipis kayak kain saring kopi, menyesal ku belanja disini..."
abdiikhsanuddin,5,Mantap gan barangnya bagus suka deh bajunya gak tipis saran dari saya gan jaga terus kualitas baju2nya gan susah cari toko yang bagus buat langanan order yakin next time bakal order disini lagi
